Anon!	Goodbye!
Stayed it long?	Did it stay long?
And all the better is it for the maid.	And it’s all better for the maid.
Come, come with me, and we will make short work.	Come with me, and we’ll make a short work.
Perchance he will not mind me.	He’ll never mind me.
Nor I.	I’m not.
I do arrest you, sir.	I’m arresting you, sir.
Welcome, Publius.	Welcome, Publius.
Now, fellows, you are welcome.	Now, fellows, you’re welcome.
Then say at once what thou dost know in this.	Then tell me immediately what you know about this.
In the way of argument, look you, and friendly communication, partly to satisfy my opinion, and partly for the satisfaction, look you, of my mind, as touching the direction of the military discipline, that is the point.	I’m going to say that, and that’s the point, I’ll say that you’re talking about the military discipline.
All hail, great master!	All hail, great master!
She was the wife of Caius Marcellus.	She was Caius Marcellus’s wife.
Tom’s a-cold.	Tom’s a cold.
Do you not know me, Father?	Don’t you know me, Father?
Nor I.	I’m not.
Nay, come, I prithee.	No, come, please.
What he will do with it Heaven knows, not I. I nothing but to please his fantasy.	I’m not a fan of him, but I’m just trying to please his fantasy.
Consent to swear.	Accept to swear.
Your commission’s ready.	Your commission is ready.
In wisdom I should ask thy name.	I’d like to ask you your name.
Now, infidel, I have you on the hip.	Now, infidel, I have you on the hip.
Some friendship will it lend you 'gainst the tempest.	It’ll give you some friendship against the tempest.
Tell him, so please him come unto this place, He shall be satisfied and, by my honor, Depart untouched.	Tell him, if he come to this place, he’ll be satisfied and, by my honor, he’ll leave unattended.
Am I your bird?	Am I your bird?
Come forth, I say!	Come out, I say.
To eat us hungerly, and when they are full, They belch us.	They’re begging us to eat them hungry, and when they’re full, they’ll belch us.
I see, lady, the gentleman is not in your books.	I see, lady, the gentleman isn’t in your books.
This is the place.	This is the place.
What if it come to thee again?	What if it’s come to you again?
I hope my noble lord esteems me honest.	I hope my noble lord is esteeming me as honest.
Out o' your wits and hearing too?	Are you out of your wits and hearing too?
Yea, sir, we hope.	Yes, sir, we hope so.
Neighbors and friends, though bride and bridegroom wants For to supply the places at the table, You know there wants no junkets at the feast.	Neighbors and friends, even though bride and bridegroom want to bring the tablecloths, you know there are no junkets at the feast.
A most high miracle!	What a great miracle!
Let him come in.	Let him come in.
This is more strange Than such a murder is.	This is more strange than a murder like that.
Foul shame upon you, you have all moved mine.	Shame on you, you’ve all moved me.
I pray you do.	Please do.
Well, officer, arrest him at my suit.	Well, officer, arrest him at my trial.
I know his gait, ’tis he.—Villain, thou diest!	I know his gait, it’s him.—Villain, you die!
Most certain, if you are she, you do usurp yourself, for what is yours to bestow is not yours to reserve.	If you’re her, you’re a usurp yourself, because what you’re going to give you is not yours to reserve.
Repent but you that you shall lose your friend, And he repents not that he pays your debt.	Repent that you’ll lose your friend, and he doesn’t repent that he’s paying your debt.
My young remembrance cannot parallel A fellow to it.	My young memory can’t parallel a fellow to it.
My fair Bianca, bid my father welcome, While I with selfsame kindness welcome thine.	My fair Bianca, welcome my father, while I welcome you with the same kindness as you.
Do not think, gentlemen, I am drunk.	Don’t think I’m drunk, gentlemen.
You will answer, “The slaves are ours.” So do I answer you.	You’ll answer, “The slaves are ours.” I’ll answer you.
In all these circumstances I’ll instruct you.	In all these circumstances I’ll instruct you.
My banquet is to close our stomachs up, After our great good cheer.	My banquet is to close our stomachs up after our great good cheer.
You shall be a woodmonger and buy nothing of me but cudgels.	You’ll be a woodmonger and buy nothing but cudgels from me.
Good madam, keep yourself within yourself.	Good madam, keep yourself inside.
Was ’t not to this end That thou began’st to twist so fine a story?	Wasn’t it to this purpose that you began to tell such a fine story?
Behind the abbey wall Within this hour my man shall be with thee And bring thee cords made like a tackled stair, Which to the high top-gallant of my joy Must be my convoy in the secret night.	I’ll be with you behind the abbey wall within an hour and bring you cords made like a stair, which must be my convoy in the secret night.
I thank it.	Thank you.
Give us the place alone.	Give us the place alone.
Ay, but the feet were lame and could not bear themselves without the verse, and therefore stood lamely in the verse.	Yes, but the feet were lame and couldn’t bear themselves without the verse, and therefore stood lamely in the verse.
Happy is Hermia, wheresoe'er she lies, For she hath blessèd and attractive eyes.	Hermia is happy, where she lies, because she has beautiful eyes.
What is my offense?	What’s my offense?
I could make as true a boast as that if I had a sow to my mistress.	I could make as true a joke as that if I had a sow to my mistress.
Am I like such a fellow?	Am I like such a man?
I am heartily glad I came hither to you.	I’m very glad I came here to you.
I thank thee, good Sir John, with all my heart.	Thank you, Sir John, with all my heart.
Then move not, while my prayer’s effect I take.	Then don’t move while I pray.
Statilius showed the torchlight but, my lord, He came not back.	Statilius showed the torchlight, but he didn’t come back, my lord.
What, says the married woman you may go?	What, is the married woman you want to go?
O, good sir, I do.	Oh, good sir, I do.
It is your music, madam, of the house.	It’s your music, madam, of the house.
A plague o' both your houses!	A plague kills both your houses!
O Goneril, You are not worth the dust which the rude wind Blows in your face.	Oh Goneril, you’re not worth the dust that the rude wind blows in your face.
If I could add a lie unto a fault I would deny it.	If I could add a lie to a fault, I would deny it.
That?	That?
His wits are gone.	His wits are gone.
Sweetest nut hath sourest rind; Such a nut is Rosalind.	Sweetest nut has a rind of sourest; Rosalind is such a nut.
Nor will you tender less.	You won’t be tempted to tender less.
Get you to church, and have a good priest that can tell you what marriage is.	Get to church and have a good priest who can tell you what marriage is.
I cannot draw a cart, nor eat dried oats.	I can’t draw a cart or eat dried oats.
A night is but small breath and little pause To answer matters of this consequence.	A night is only a small breath and a little pause to answer questions of this consequence.
Thou hast taken against me a most just exception, but yet I protest I have dealt most directly in thy affair.	You’ve taken against me a very just exception, but I’m not saying I’ve dealt with your affair most directly.
Two such opposèd kings encamp them still, In man as well as herbs—grace and rude will.	Two such opposing kings still encamp them in man as well as in herbs—grace and rude will.
Who, queasy with his insolence already, Will their good thoughts call from him.	Who, who’s already angry with his insolence, will give their good thoughts to him.
Where are the vile beginners of this fray?	Where are the vile men who are starting this fight?
Well, sir.	Well, sir.
Oh, no, good Kate.	Oh no, good Kate.
Therefore he that cannot lick his fingers goes not with me.	So anyone who can’t lick his fingers doesn’t go with me.
